Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score
Cetuximab,1114,CTV-1,753548,LAML,blood,acute_myeloid_leukaemia,6.192231428,0.992912907,65.8,0.02519825,0.20772029
Cetuximab,1114,HL-60,905938,LAML,blood,acute_myeloid_leukaemia,6.751015738,0.989875715,65.8,0.027267744,0.757863576
Cetuximab,1114,GDM-1,906870,LAML,blood,acute_myeloid_leukaemia,6.712075992,0.979350371,65.8,0.045665752,0.719525994
Cetuximab,1114,HEL,907053,LAML,blood,acute_myeloid_leukaemia,5.369239636,0.976894645,65.8,0.106585128,-0.602544784
Cetuximab,1114,KASUMI-1,907275,LAML,blood,acute_myeloid_leukaemia,6.572101003,0.981079238,65.8,0.044336359,0.581715573
Cetuximab,1114,KG-1,907278,LAML,blood,acute_myeloid_leukaemia,6.749148967,0.990327129,65.8,0.026849744,0.756025674
Cetuximab,1114,KMOE-2,907280,LAML,blood,acute_myeloid_leukaemia,6.423136459,0.985904363,65.8,0.038986447,0.435054613
Cetuximab,1114,ML-2,908141,LAML,blood,acute_myeloid_leukaemia,6.588418243,0.990374773,65.8,0.027269179,0.597780485
Cetuximab,1114,MONO-MAC-6,908148,LAML,blood,acute_myeloid_leukaemia,6.68570034,0.977399025,65.8,0.048911139,0.693558214
Cetuximab,1114,NKM-1,908448,LAML,blood,acute_myeloid_leukaemia,6.682543119,0.976556076,65.8,0.050203875,0.690449816
Cetuximab,1114,NOMO-1,908451,LAML,blood,acute_myeloid_leukaemia,6.676621721,0.974068484,65.8,0.122415351,0.684619986
Cetuximab,1114,P31-FUJ,909253,LAML,blood,acute_myeloid_leukaemia,6.011513166,0.994392458,65.8,0.022058143,0.029796649
Cetuximab,1114,THP-1,909771,LAML,blood,acute_myeloid_leukaemia,6.368264808,0.989489362,65.8,0.030914949,0.381031495
Cetuximab,1114,QIMR-WIL,910545,LAML,blood,acute_myeloid_leukaemia,5.645938914,0.962147422,65.8,0.030135759,-0.330124374
Cetuximab,1114,CMK,910566,LAML,blood,acute_myeloid_leukaemia,6.064881329,0.992371878,65.8,0.030967523,0.082339529
Cetuximab,1114,CESS,910688,LAML,blood,acute_myeloid_leukaemia,6.023784219,0.985863756,65.8,0.02792824,0.041877943
Cetuximab,1114,OCI-AML2,910947,LAML,blood,acute_myeloid_leukaemia,5.70791611,0.993178819,65.8,0.028916254,-0.269105592
Cetuximab,1114,OCI-AML3,1290455,LAML,blood,acute_myeloid_leukaemia,6.324797489,0.987591517,65.8,0.039758842,0.338236353
Cetuximab,1114,NB4,1323913,LAML,blood,acute_myeloid_leukaemia,5.617411753,0.985769915,65.8,0.057515478,-0.358210392
Cetuximab,1114,ME-1,1330942,LAML,blood,acute_myeloid_leukaemia,6.9307672,0.986787467,65.8,0.033138828,0.934835368
Cetuximab,1114,MOLM-13,1330947,LAML,blood,acute_myeloid_leukaemia,6.306439278,0.976324794,65.8,0.044129482,0.320162033
