Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score
Axitinib,1021,COR-L311,687980,SCLC,lung,lung_small_cell_carcinoma,1.676446664,0.840649017,10,0.059842639,-0.731700857
Axitinib,1021,DMS-114,687983,SCLC,lung,lung_small_cell_carcinoma,3.301335271,0.9251751,10,0.06440019,0.237160166
Axitinib,1021,DMS-273,687985,SCLC,lung,lung_small_cell_carcinoma,1.55256296,0.810953097,10,0.117872957,-0.805568131
Axitinib,1021,NCI-H1048,687995,SCLC,lung,lung_small_cell_carcinoma,1.301891949,0.793812426,10,0.119929755,-0.955033991
Axitinib,1021,NCI-H1092,687997,SCLC,lung,lung_small_cell_carcinoma,3.393879776,0.91912786,10,0.092065767,0.292341034
Axitinib,1021,NCI-H1694,688006,SCLC,lung,lung_small_cell_carcinoma,2.097297102,0.871054269,10,0.06353773,-0.480763295
Axitinib,1021,NCI-H1963,688010,SCLC,lung,lung_small_cell_carcinoma,0.794604486,0.742576856,10,0.134399102,-1.257510756
Axitinib,1021,NCI-H2029,688011,SCLC,lung,lung_small_cell_carcinoma,2.953102002,0.926052362,10,0.084216156,0.029521538
Axitinib,1021,NCI-H209,688013,SCLC,lung,lung_small_cell_carcinoma,1.304270127,0.803851217,10,0.129751548,-0.953615971
Axitinib,1021,NCI-H2141,688014,SCLC,lung,lung_small_cell_carcinoma,2.402582657,0.86252644,10,0.05360205,-0.298732801
Axitinib,1021,NCI-H2171,688015,SCLC,lung,lung_small_cell_carcinoma,0.677336418,0.7532369,10,0.086137778,-1.327433371
Axitinib,1021,NCI-H2227,688018,SCLC,lung,lung_small_cell_carcinoma,1.368963306,0.761864158,10,0.187264973,-0.915041819
Axitinib,1021,NCI-H345,688021,SCLC,lung,lung_small_cell_carcinoma,6.782229301,0.983103961,10,0.066620927,2.312688627
Axitinib,1021,NCI-H446,688023,SCLC,lung,lung_small_cell_carcinoma,0.683838468,0.727577723,10,0.089059028,-1.323556439
Axitinib,1021,NCI-H526,688025,SCLC,lung,lung_small_cell_carcinoma,0.818766827,0.757452939,10,0.121688071,-1.243103646
Axitinib,1021,NCI-H64,688026,SCLC,lung,lung_small_cell_carcinoma,1.447444744,0.785599869,10,0.135844632,-0.868246238
Axitinib,1021,NCI-H69,688027,SCLC,lung,lung_small_cell_carcinoma,1.427212879,0.794264633,10,0.09051684,-0.880309752
Axitinib,1021,NCI-H82,688031,SCLC,lung,lung_small_cell_carcinoma,0.902228107,0.764793311,10,0.09029314,-1.193338769
Axitinib,1021,LU-139,713878,SCLC,lung,lung_small_cell_carcinoma,1.686406144,0.822748094,10,0.083831294,-0.725762387
Axitinib,1021,SBC-5,713880,SCLC,lung,lung_small_cell_carcinoma,2.04323343,0.874129748,10,0.07806708,-0.512999465
Axitinib,1021,SBC-1,713885,SCLC,lung,lung_small_cell_carcinoma,1.507734415,0.80063861,10,0.125804989,-0.832297736
Axitinib,1021,LU-135,713899,SCLC,lung,lung_small_cell_carcinoma,0.928076223,0.755750353,10,0.065306778,-1.177926492
Axitinib,1021,SHP-77,724872,SCLC,lung,lung_small_cell_carcinoma,2.249604164,0.889280963,10,0.049017648,-0.389948223
Axitinib,1021,CPC-N,753547,SCLC,lung,lung_small_cell_carcinoma,1.905111939,0.856090089,10,0.086220486,-0.595356205
Axitinib,1021,DMS-79,753551,SCLC,lung,lung_small_cell_carcinoma,3.890702291,0.965352471,10,0.062806636,0.588577938
Axitinib,1021,IST-SL1,753564,SCLC,lung,lung_small_cell_carcinoma,0.246984603,0.692456477,10,0.149453846,-1.584036253
Axitinib,1021,IST-SL2,753565,SCLC,lung,lung_small_cell_carcinoma,3.716243161,0.944022864,10,0.070116654,0.484554406
Axitinib,1021,LB647-SCLC,753582,SCLC,lung,lung_small_cell_carcinoma,0.346853519,0.691717975,10,0.097190859,-1.52448811
Axitinib,1021,LU-134-A,753588,SCLC,lung,lung_small_cell_carcinoma,1.950855562,0.853008064,10,0.124429216,-0.568080973
Axitinib,1021,LU-165,753589,SCLC,lung,lung_small_cell_carcinoma,4.713203082,0.93088542,10,0.08219496,1.079004761
Axitinib,1021,MS-1,753594,SCLC,lung,lung_small_cell_carcinoma,1.761676037,0.85526543,10,0.049772969,-0.680881732
Axitinib,1021,NCI-H510A,753605,SCLC,lung,lung_small_cell_carcinoma,0.732040808,0.746512936,10,0.113896297,-1.294815165
Axitinib,1021,SBC-3,753610,SCLC,lung,lung_small_cell_carcinoma,0.643652979,0.716313565,10,0.08732831,-1.347517561
Axitinib,1021,COR-L88,906808,SCLC,lung,lung_small_cell_carcinoma,2.955255573,0.910306751,10,0.0720698,0.030805632
Axitinib,1021,DMS-53,907295,SCLC,lung,lung_small_cell_carcinoma,2.136549424,0.854051556,10,0.080743242,-0.457358586
Axitinib,1021,NCI-H1105,908468,SCLC,lung,lung_small_cell_carcinoma,2.314959973,0.882909106,10,0.078642402,-0.35097897
Axitinib,1021,NCI-H1436,908469,SCLC,lung,lung_small_cell_carcinoma,1.348464857,0.799658089,10,0.06416493,-0.927264287
Axitinib,1021,NCI-H2081,908480,SCLC,lung,lung_small_cell_carcinoma,1.294232291,0.77604345,10,0.084331672,-0.959601162
Axitinib,1021,NCI-H2196,908481,SCLC,lung,lung_small_cell_carcinoma,2.210644301,0.849959322,10,0.119399772,-0.413178549
Axitinib,1021,NCI-H524,908483,SCLC,lung,lung_small_cell_carcinoma,-0.235936887,0.623476139,10,0.136926767,-1.87198449
Axitinib,1021,NCI-H748,909194,SCLC,lung,lung_small_cell_carcinoma,1.386159177,0.798392245,10,0.108150231,-0.904788557
Axitinib,1021,COLO-668,910692,SCLC,lung,lung_small_cell_carcinoma,3.26945909,0.928540651,10,0.070543406,0.218153577
Axitinib,1021,NCI-H146,910899,SCLC,lung,lung_small_cell_carcinoma,2.424052389,0.879100937,10,0.065448982,-0.285931194
Axitinib,1021,COR-L279,910937,SCLC,lung,lung_small_cell_carcinoma,1.13861943,0.786977841,10,0.079801668,-1.05238736
Axitinib,1021,NCI-H250,924241,SCLC,lung,lung_small_cell_carcinoma,2.388173179,0.845578918,10,0.080281227,-0.307324641
Axitinib,1021,NCI-H1836,1240182,SCLC,lung,lung_small_cell_carcinoma,3.612983246,0.912704075,10,0.129321975,0.422984335
Axitinib,1021,NCI-H196,1240186,SCLC,lung,lung_small_cell_carcinoma,4.454325769,0.970512941,10,0.081592303,0.924645787
Axitinib,1021,NCI-H211,1240189,SCLC,lung,lung_small_cell_carcinoma,0.749647647,0.745626469,10,0.073145305,-1.284316858
Axitinib,1021,NCI-H841,1240192,SCLC,lung,lung_small_cell_carcinoma,1.946999572,0.834867448,10,0.090792962,-0.570380157
Axitinib,1021,NCI-H847,1240193,SCLC,lung,lung_small_cell_carcinoma,-0.178526972,0.634045522,10,0.092587381,-1.837753079
Axitinib,1021,COR-L303,1297438,SCLC,lung,lung_small_cell_carcinoma,3.377683257,0.952601353,10,0.083206019,0.282683648
Axitinib,1021,COR-L95,1297439,SCLC,lung,lung_small_cell_carcinoma,3.272256236,0.911329062,10,0.069257465,0.219821412
Axitinib,1021,NCI-H1688,1298349,SCLC,lung,lung_small_cell_carcinoma,2.577106502,0.916969588,10,0.050079151,-0.194670683
Axitinib,1021,SW1271,1299062,SCLC,lung,lung_small_cell_carcinoma,5.784595649,0.943609439,10,0.04508434,1.717836552
Axitinib,1021,HCC-33,1303901,SCLC,lung,lung_small_cell_carcinoma,1.76550756,0.843399063,10,0.093185306,-0.678597136
Axitinib,1021,COR-L32,1322212,SCLC,lung,lung_small_cell_carcinoma,2.421454435,0.88688776,10,0.11478781,-0.287480257
Axitinib,1021,NCI-H1341,1330964,SCLC,lung,lung_small_cell_carcinoma,2.28115911,0.877550276,10,0.110063155,-0.371133175
Axitinib,1021,NCI-H1876,1330972,SCLC,lung,lung_small_cell_carcinoma,1.137580538,0.777448216,10,0.119501056,-1.053006813
Axitinib,1021,NCI-H2066,1330973,SCLC,lung,lung_small_cell_carcinoma,4.671939874,0.928382384,10,0.097480703,1.054401035
Lestaurtinib,1024,COR-L311,687980,SCLC,lung,lung_small_cell_carcinoma,-1.55072418,0.658926143,2,0.127576132,-0.949714012
Lestaurtinib,1024,DMS-114,687983,SCLC,lung,lung_small_cell_carcinoma,1.884555875,0.933651437,2,0.033566637,1.174633036
Lestaurtinib,1024,DMS-273,687985,SCLC,lung,lung_small_cell_carcinoma,0.584904731,0.864498412,2,0.027858859,0.370940171
Lestaurtinib,1024,NCI-H1048,687995,SCLC,lung,lung_small_cell_carcinoma,-1.172696262,0.699226285,2,0.06453098,-0.715944864
Lestaurtinib,1024,NCI-H1092,687997,SCLC,lung,lung_small_cell_carcinoma,1.660345898,0.913267431,2,0.094918869,1.035983553
Lestaurtinib,1024,NCI-H1694,688006,SCLC,lung,lung_small_cell_carcinoma,-0.294441114,0.800449616,2,0.043467673,-0.172839585
Lestaurtinib,1024,NCI-H1963,688010,SCLC,lung,lung_small_cell_carcinoma,-1.450103147,0.667723035,2,0.131571649,-0.887490848
Lestaurtinib,1024,NCI-H2029,688011,SCLC,lung,lung_small_cell_carcinoma,1.273557538,0.922326265,2,0.063370058,0.796797025
