Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score
Camptothecin,1003,TE-5,735784,ESCA,aero_digestive_tract,oesophagus,-2.555310782,0.834075918,0.1,0.087242117,-0.161952499
Camptothecin,1003,EC-GI-10,753555,ESCA,aero_digestive_tract,oesophagus,-3.125664052,0.804941689,0.1,0.082367836,-0.472096346
Camptothecin,1003,HCE-4,753559,ESCA,aero_digestive_tract,oesophagus,-3.536140073,0.77867008,0.1,0.087080221,-0.695302943
Camptothecin,1003,KYSE-140,753573,ESCA,aero_digestive_tract,oesophagus,-0.402974355,0.960631606,0.1,0.085003744,1.008434232
Camptothecin,1003,KYSE-410,753574,ESCA,aero_digestive_tract,oesophagus,0.605862214,0.944779938,0.1,0.053906811,1.557014333
Camptothecin,1003,KYSE-520,753575,ESCA,aero_digestive_tract,oesophagus,1.809984528,0.967242308,0.1,0.058017081,2.211785939
Camptothecin,1003,KYSE-70,753576,ESCA,aero_digestive_tract,oesophagus,0.932680845,0.970118027,0.1,0.056888438,1.734730132
Camptothecin,1003,TE-15,753614,ESCA,aero_digestive_tract,oesophagus,-3.789219124,0.726350541,0.1,0.128538371,-0.832921002
Camptothecin,1003,TE-1,753621,ESCA,aero_digestive_tract,oesophagus,-1.379972403,0.897634362,0.1,0.082997212,0.477167123
Camptothecin,1003,TE-10,753622,ESCA,aero_digestive_tract,oesophagus,-3.215425661,0.803480998,0.1,0.113940562,-0.520906465
Camptothecin,1003,TE-8,753623,ESCA,aero_digestive_tract,oesophagus,-1.70436763,0.880597713,0.1,0.098189195,0.300769109
Camptothecin,1003,COLO-680N,906817,ESCA,aero_digestive_tract,oesophagus,0.176146323,0.944584105,0.1,0.081308377,1.323345576
Camptothecin,1003,KYSE-150,907317,ESCA,aero_digestive_tract,oesophagus,-2.695154032,0.833501865,0.1,0.09896301,-0.237995762
Camptothecin,1003,KYSE-180,907318,ESCA,aero_digestive_tract,oesophagus,-1.117451416,0.957776021,0.1,0.084791453,0.619919471
Camptothecin,1003,KYSE-270,907319,ESCA,aero_digestive_tract,oesophagus,-2.958731835,0.820405371,0.1,0.101827611,-0.38132278
Camptothecin,1003,KYSE-450,907320,ESCA,aero_digestive_tract,oesophagus,-1.047473616,0.925482007,0.1,0.072827148,0.657971649
Camptothecin,1003,KYSE-510,907321,ESCA,aero_digestive_tract,oesophagus,-2.573845908,0.87408267,0.1,0.136331038,-0.172031437
Camptothecin,1003,OE19,910079,ESCA,aero_digestive_tract,oesophagus,1.029547455,0.97444884,0.1,0.089003658,1.787403773
