Drug Name,Drug ID,Cell Line Name,Cosmic ID,TCGA Classification,Tissue,Tissue Sub-type,IC50,AUC,Max Conc,RMSE,Z score
Afatinib,1032,COR-L311,687980,SCLC,lung,lung_small_cell_carcinoma,1.50150372,0.85693637,10,0.13280354,-0.062902
Afatinib,1032,DMS-114,687983,SCLC,lung,lung_small_cell_carcinoma,2.18106212,0.88393315,10,0.11000208,0.39594406
Afatinib,1032,DMS-273,687985,SCLC,lung,lung_small_cell_carcinoma,1.28558197,0.82501284,10,0.13602244,-0.208695
Afatinib,1032,NCI-H1048,687995,SCLC,lung,lung_small_cell_carcinoma,2.18595191,0.89554201,10,0.10550621,0.3992457
Afatinib,1032,NCI-H1092,687997,SCLC,lung,lung_small_cell_carcinoma,3.13493846,0.92361959,10,0.08392732,1.04001289
Afatinib,1032,NCI-H1694,688006,SCLC,lung,lung_small_cell_carcinoma,2.24269493,0.90417106,10,0.12475729,0.43755928
Afatinib,1032,NCI-H1963,688010,SCLC,lung,lung_small_cell_carcinoma,1.40672636,0.84304147,10,0.13646343,-0.1268968
Afatinib,1032,NCI-H2029,688011,SCLC,lung,lung_small_cell_carcinoma,2.3097365,0.90751727,10,0.11336153,0.48282655
Afatinib,1032,NCI-H209,688013,SCLC,lung,lung_small_cell_carcinoma,0.43085439,0.7598457,10,0.13688173,-0.7858173
Afatinib,1032,NCI-H2141,688014,SCLC,lung,lung_small_cell_carcinoma,2.68529162,0.90272088,10,0.08785347,0.73640591
Afatinib,1032,NCI-H2171,688015,SCLC,lung,lung_small_cell_carcinoma,1.08864123,0.90152351,10,0.02585697,-0.3416717
Afatinib,1032,NCI-H2227,688018,SCLC,lung,lung_small_cell_carcinoma,4.11170159,0.96098208,10,0.09753308,1.69953515
Afatinib,1032,NCI-H345,688021,SCLC,lung,lung_small_cell_carcinoma,2.48505378,0.87291479,10,0.12801953,0.6012029
Afatinib,1032,NCI-H446,688023,SCLC,lung,lung_small_cell_carcinoma,0.6284056,0.7726238,10,0.14588688,-0.6524284
Afatinib,1032,NCI-H526,688025,SCLC,lung,lung_small_cell_carcinoma,1.59226897,0.87110068,10,0.12276094,-0.0016162
Afatinib,1032,NCI-H64,688026,SCLC,lung,lung_small_cell_carcinoma,1.18687978,0.76127573,10,0.13446435,-0.2753399
Afatinib,1032,NCI-H69,688027,SCLC,lung,lung_small_cell_carcinoma,0.596611,0.70918695,10,0.12156649,-0.6738965
Afatinib,1032,NCI-H82,688031,SCLC,lung,lung_small_cell_carcinoma,0.83747432,0.80271809,10,0.13287676,-0.5112627
Afatinib,1032,LU-139,713878,SCLC,lung,lung_small_cell_carcinoma,1.2964063,0.8256708,10,0.12549114,-0.2013862
Afatinib,1032,SBC-5,713880,SCLC,lung,lung_small_cell_carcinoma,1.77928515,0.87942439,10,0.12797228,0.1246594
Afatinib,1032,SBC-1,713885,SCLC,lung,lung_small_cell_carcinoma,2.55076212,0.93157292,10,0.04256961,0.64556996
Afatinib,1032,LU-135,713899,SCLC,lung,lung_small_cell_carcinoma,0.85526381,0.79440603,10,0.12024713,-0.499251
Afatinib,1032,SHP-77,724872,SCLC,lung,lung_small_cell_carcinoma,1.19666772,0.8322251,10,0.13509207,-0.2687309
Afatinib,1032,CPC-N,753547,SCLC,lung,lung_small_cell_carcinoma,0.85891947,0.79828792,10,0.11242081,-0.4967826
Afatinib,1032,DMS-79,753551,SCLC,lung,lung_small_cell_carcinoma,3.09612642,0.97144432,10,0.06956002,1.01380653
Afatinib,1032,IST-SL1,753564,SCLC,lung,lung_small_cell_carcinoma,0.7586893,0.86150355,10,0.15708406,-0.5644593
Afatinib,1032,IST-SL2,753565,SCLC,lung,lung_small_cell_carcinoma,0.66878356,0.76952244,10,0.10430813,-0.6251647
Afatinib,1032,LB647-SCLC,753582,SCLC,lung,lung_small_cell_carcinoma,2.04998958,0.9270138,10,0.08441164,0.3074423
Afatinib,1032,LU-134-A,753588,SCLC,lung,lung_small_cell_carcinoma,0.93777,0.84490542,10,0.18363997,-0.4435418
Afatinib,1032,LU-165,753589,SCLC,lung,lung_small_cell_carcinoma,2.35729675,0.84783192,10,0.13480958,0.51493981
Afatinib,1032,MS-1,753594,SCLC,lung,lung_small_cell_carcinoma,1.06436153,0.82464002,10,0.14422256,-0.3580657
Afatinib,1032,NCI-H510A,753605,SCLC,lung,lung_small_cell_carcinoma,1.45466385,0.90552069,10,0.09499164,-0.0945288
Afatinib,1032,SBC-3,753610,SCLC,lung,lung_small_cell_carcinoma,1.79788906,0.86145085,10,0.11879568,0.13722098
Afatinib,1032,COR-L88,906808,SCLC,lung,lung_small_cell_carcinoma,2.02609412,0.84842207,10,0.12336397,0.2913078
Afatinib,1032,DMS-53,907295,SCLC,lung,lung_small_cell_carcinoma,2.59883232,0.90729798,10,0.1148347,0.67802754
Afatinib,1032,NCI-H1105,908468,SCLC,lung,lung_small_cell_carcinoma,3.04809739,0.96270484,10,0.05930053,0.98137675
Afatinib,1032,NCI-H1436,908469,SCLC,lung,lung_small_cell_carcinoma,4.5854085,0.98889497,10,0.04242298,2.01938778
Afatinib,1032,NCI-H2081,908480,SCLC,lung,lung_small_cell_carcinoma,5.06142182,0.98567708,10,0.03144716,2.34079772
Afatinib,1032,NCI-H2196,908481,SCLC,lung,lung_small_cell_carcinoma,1.42155554,0.85910027,10,0.04398924,-0.116884
